"report_id","date_time","police_beat","address_number_primary","address_pd_primary","address_road_primary","address_sfx_primary","address_pd_intersecting","address_name_intersecting","address_sfx_intersecting","violation_section","violation_type","charge_desc","injured","killed","hit_run_lvl"
"180423","2018-01-05 17:59:00","124","8200"," ","GILMAN","DRIVE"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"180431","2018-01-05 18:40:00","242","8400"," ","MIRA MESA","BOULEVARD"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","2","0",""
"180532","2018-01-05 18:55:00","831","4400"," ","EL CAJON","BOULEVARD"," "," "," ","22106","VC","STARTING PARKED VEHICLES OR BACKING","0","0","MISDEMEANOR"
"180693","2018-01-05 20:00:00","315","2000"," ","CAM DEL ESTE"," "," "," "," ","21955","VC","CROSSING BETWEEN CONTROLLED INTERSECTIONS","1","0",""
"180412","2018-01-05 21:50:00","813","4000"," ","32ND","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"190184","2018-01-06 00:01:00","934","12600"," ","DEL VINO","COURT"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0","MISDEMEANOR"
"180402","2018-01-06 02:13:00","627","1000"," ","UNIVERSITY","AVENUE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"180600","2018-01-06 02:29:00","517","2500"," ","A","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"180427","2018-01-06 02:30:00","242","9900"," ","REAGAN","ROAD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0",""
"180391","2018-01-06 05:58:00","512","2200"," ","OCEAN VIEW","BOULEVARD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
